Legs,Joint Prob,Ticket EV%,Payout,Picks
3,0.6561,2.9366000000000003,6.0x,Alperen Sengun Under 8.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB
3,0.6557,2.9341999999999997,6.0x,Alperen Sengun Under 8.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST
3,0.6541,2.9246,6.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA
3,0.6537,2.9221999999999997,6.0x,Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB
4,0.6517,5.5169999999999995,10.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Tari Eason Under 9.5 RA
4,0.6511,5.511,10.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA
4,0.6491,5.491,10.0x,Alperen Sengun Under 8.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
4,0.648,5.48,10.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB
4,0.6479,5.479,10.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
4,0.6471,5.471,10.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Kevin Durant Under 5.5 REB
4,0.6465,5.465,10.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
6,0.6456,15.14,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
6,0.645,15.125,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
5,0.645,11.9,20.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
5,0.6437,11.874,20.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
5,0.6436,11.872,20.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST
5,0.642,11.84,20.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
5,0.6408,11.816,20.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
5,0.6408,11.816,20.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
5,0.6397,11.794,20.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
5,0.639,11.780000000000001,20.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
5,0.6387,11.774000000000001,20.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
5,0.6384,11.767999999999999,20.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Tari Eason Under 9.5 RA
6,0.6328,14.82,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
6,0.6302,14.754999999999999,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
6,0.6282,14.705,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 6.5 AST | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
6,0.6269,14.6725,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
6,0.6238,14.595,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
6,0.6231,14.5775,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 6.5 AST | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
6,0.6223,14.5575,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
6,0.6216,14.540000000000001,25.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 23.5 PRA
7,0.5190624,19.762496000000002,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
7,0.51858,19.7432,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
7,0.5087712000000001,19.350848000000003,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
7,0.5066808,19.267232,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
7,0.5050728,19.202911999999998,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 6.5 AST | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
7,0.5040276,19.161104,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
7,0.5015352000000001,19.061408000000004,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
7,0.5009724,19.038896,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 6.5 AST | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
7,0.5003292,19.013168,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
7,0.49976640000000006,18.990656,40.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 23.5 PRA
8,0.45476064,35.3808512,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
8,0.454338,35.34704,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
8,0.44574432,34.6595456,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
8,0.44391288,34.5130304,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
8,0.44250408,34.400326400000004,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 6.5 AST | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
8,0.44158836,34.3270688,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
8,0.43940472,34.1523776,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 5.5 PTS | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
8,0.43891164,34.1129312,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 6.5 AST | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
8,0.43834812,34.0678496,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
8,0.43785504000000003,34.0284032,80.0x,Alperen Sengun Under 8.5 REB | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 23.5 PRA
